code_mission,localite,numero_ligne,date_collecte,observations
FRA - BePrep - Juin 2024,FRA - BePrep - 15,15,2025-06-16,"2 tiques
Forte pluie la nuit, sec le matin"
FRA - BePrep - Juin 2024,FRA - BePrep - 18,18,2024-06-21,"0 tique  + 1 collectée sur le collecteur
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 19,19,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 20,20,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 21,21,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 22,22,2024-06-21,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 23,23,2024-06-21,"1 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 24,24,2024-06-21,"1 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 19,19,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 20,20,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 21,21,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 22,22,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 23,23,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 24,24,2024-06-20,
FRA - BePrep - Juin 2024,FRA - BePrep - 47,47,2024-06-20,"3 tiques
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 48,48,2024-06-20,"0 tique
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 49,49,2024-06-20,"12 tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 50,50,2024-06-20,"12 tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 51,51,2024-06-20,"3 Tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 52,52,2024-06-20,"10 Tiques
Temps nuageux sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 53,53,2024-06-20,"0 Tique
Pluie"
FRA - BePrep - Juin 2024,FRA - BePrep - 26,26,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 27,27,2024-06-18,"3 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 28,28,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 29,29,2024-06-18,"5 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 30,30,2024-06-18,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 32,32,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 33,33,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 34,34,2024-06-18,
FRA - BePrep - Juin 2024,FRA - BePrep - 26,26,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 27,27,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 28,28,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 29,29,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 30,30,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 31,31,2024-06-17,
FRA - BePrep - Juin 2024,FRA - BePrep - 31,31,2024-06-17,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 32,32,2024-06-17,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 33,33,2024-06-17,"2 Tiques sur le drap
+ 1 tique sur Aloïs
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 34,34,2024-06-17,"0 tique
Temps sec et chaud"
FRA - BePrep - Juin 2024,FRA - BePrep - 45,45,2024-06-17,"1 tique
Temps nuageux, humide (pluie durant la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 46,46,2024-06-17,"2 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 10,10,2024-06-15,"0 tique
Forte pluie la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 11,11,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 12,12,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 13,13,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 16,16,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 17,17,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 18,18,2024-06-15,
FRA - BePrep - Juin 2024,FRA - BePrep - 36,36,2024-06-15,"1 tique collectée au drap mais perdue (pas de tube)
Forte pluie la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 37,37,2024-06-15,"0 tique
Forte pluie la nuiit"
FRA - BePrep - Juin 2024,FRA - BePrep - 43,43,2024-06-15,"0 tique
Forte pluie la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 6,6,2024-06-15,"1 tique
Fort pluie la nuit"
FRA - BePrep - Juin 2024,FRA - BePrep - 10,10,2024-06-14,
FRA - BePrep - Juin 2024,FRA - BePrep - 11,11,2024-06-14,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 12,12,2024-06-14,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 13,13,2024-06-14,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 15,15,2024-06-14,
FRA - BePrep - Juin 2024,FRA - BePrep - 16,16,2024-06-14,"0 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 17,17,2024-06-14,"1 tique
Temps pluvieux"
FRA - BePrep - Juin 2024,FRA - BePrep - 36,36,2024-06-14,
FRA - BePrep - Juin 2024,FRA - BePrep - 6,6,2024-06-14,
FRA - BePrep - Juin 2024,FRA - BePrep - 1,1,2024-06-12,
FRA - BePrep - Juin 2024,FRA - BePrep - 2,2,2024-06-12,"3 tiques + 2 tiques relevées sur un pantalon
météo matinée sèche"
FRA - BePrep - Juin 2024,FRA - BePrep - 2,2,2024-06-12,
FRA - BePrep - Juin 2024,FRA - BePrep - 3,3,2024-06-12,"5 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 4,4,2024-06-12,"1 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 5,5,2024-06-12,"3 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 7,7,2024-06-12,"3 tiques
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 8,8,2024-06-12,"0 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 9,9,2024-06-12,"0 tique
Temps sec"
FRA - BePrep - Juin 2024,FRA - BePrep - 1,1,2024-06-11,"4 tiques au drap + 1 relevée sur le pantalon
Meteo : matinée sèche"
FRA - BePrep - Juin 2024,FRA - BePrep - 3,3,2024-06-11,
FRA - BePrep - Juin 2024,FRA - BePrep - 4,4,2024-06-11,
FRA - BePrep - Juin 2024,FRA - BePrep - 5,5,2024-06-11,
FRA - BePrep - Juin 2024,FRA - BePrep - 7,7,2024-06-11,
FRA - BePrep - Juin 2024,FRA - BePrep - 8,8,2024-06-11,
FRA - BePrep - Juin 2024,FRA - BePrep - 9,9,2024-06-11,
FRA - BePrep - Octobre 2023,FRA - BePrep - 19,19,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 20,20,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 26,26,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 27,27,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 28,28,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 29,29,2023-10-25,"0 Tique
Pluie"
FRA - BePrep - Octobre 2023,FRA - BePrep - 30,30,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 31,31,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 32,32,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 33,33,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 34,34,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 35,35,2023-10-24,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 11,11,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 12,12,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 13,13,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 14,14,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 15,15,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 16,16,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 17,17,2023-10-22,"0 Tique
Soirée pluvieuse"
FRA - BePrep - Octobre 2023,FRA - BePrep - 21,21,2023-10-22,"0 Tique
Soirée pluvieuse - trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 22,22,2023-10-22,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 23,23,2023-10-22,"1 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 24,24,2023-10-22,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 25,25,2023-10-22,"0 Tique
Trempé"
FRA - BePrep - Octobre 2023,FRA - BePrep - 1,1,2023-10-17,2 Tiques
FRA - BePrep - Octobre 2023,FRA - BePrep - 10,10,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 18,18,2023-10-17,1 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 2,2,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 3,3,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 36,36,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 4,4,2023-10-17,1 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 5,5,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 6,6,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 7,7,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 8,8,2023-10-17,0 Tique
FRA - BePrep - Octobre 2023,FRA - BePrep - 9,9,2023-10-17,0 Tique
FRA - BePrep - Juin 2023,FRA - BePrep - 11,11,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 12,12,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 13,13,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 14,14,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 15,15,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 16,16,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 17,17,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 19,19,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 20,20,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 21,21,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 22,22,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 23,23,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 24,24,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 25,25,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 26,26,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 27,27,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 28,28,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 29,29,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 30,30,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 31,31,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 32,32,2023-06-08,
FRA - BePrep - Juin 2023,FRA - BePrep - 11,11,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 12,12,2023-06-07,0 Tick
FRA - BePrep - Juin 2023,FRA - BePrep - 13,13,2023-06-07,7 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 14,14,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 15,15,2023-06-07,1 Tick
FRA - BePrep - Juin 2023,FRA - BePrep - 16,16,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 17,17,2023-06-07,1 Tick
FRA - BePrep - Juin 2023,FRA - BePrep - 21,21,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 22,22,2023-06-07,1 Tick
FRA - BePrep - Juin 2023,FRA - BePrep - 23,23,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 24,24,2023-06-07,O Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 25,25,2023-06-07,0 Ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 19,19,2023-06-04,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 20,20,2023-06-04,1 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 26,26,2023-06-04,1 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 27,27,2023-06-04,9 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 28,28,2023-06-04,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 29,29,2023-06-04,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 30,30,2023-06-04,1 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 31,31,2023-06-04,6 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 32,32,2023-06-04,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 33,33,2023-06-04,
FRA - BePrep - Juin 2023,FRA - BePrep - 34,34,2023-06-04,
FRA - BePrep - Juin 2023,FRA - BePrep - 35,35,2023-06-04,
FRA - BePrep - Juin 2023,FRA - BePrep - 33,33,2023-06-03,6 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 34,34,2023-06-03,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 35,35,2023-06-03,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 1,1,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 10,10,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 18,18,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 2,2,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 3,3,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 36,36,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 4,4,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 5,5,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 5,5,2023-06-01,2 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 7,7,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 8,8,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 9,9,2023-06-01,
FRA - BePrep - Juin 2023,FRA - BePrep - 1,1,2023-05-31,20 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 10,10,2023-05-31,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 18,18,2023-05-31,1 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 2,2,2023-05-31,24 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 3,3,2023-05-31,12 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 36,36,2023-05-31,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 4,4,2023-05-31,8 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 7,7,2023-05-31,21 ticks
FRA - BePrep - Juin 2023,FRA - BePrep - 8,8,2023-05-31,0 tick
FRA - BePrep - Juin 2023,FRA - BePrep - 9,9,2023-05-31,19 ticks
